Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
1	Wo befindet sich das Hallenwasser?	am Bahnhof	das Gegenteil	in der Milchstube	in einem Hohlenbad	B	BIOLOGIE
2	Was beginnt im Titel von Sandor Ridegs Roman?	die Banzai	das Bakterhaus	die Mandel	der Wettbewerb	B	FILM
3	Welcher Vogel wird im Volksmund als Gefahrenvogel bezeichnet?	der Star	der Spatz	die Tasse	die schwarze Drossel	C	SPRACHE
4	Welcher ist der hochste aktive Vulkan Europas?	Stromboli	Hekla	Santorin	atna	D	ERDKUNDE
5	Was war der erste Solo-Hit von Zsuzsa Koncz?	Die Ballade von Anni Szoke	Die Zeit wird knapp	Buntstifte	Kleine Blume	A	MUSIK
6	Wer trug ursprunglich den Anorak?	die Sherpas	die Eskimos	die Blatter	die Nenzen	B	GESCHICHTE
1	Zoran war in den 60er Jahren Mitglied der nach welchem Fahrzeug benannten Band?	Elektrisch	MONAT	Bus	Metro	D	MUSIK
2	Wie galoppierte Tisza nach Petofis Gedicht?	wie ein wutender Stier	wie der Wirbelwind	wie der Wahnsinnige, der seine Kette zerriss	wie der Fluchtling, der von den Tataren gejagt wird	C	LITERATUR
3	Was macht jemand, dessen Hobby Ikebana ist?	mit orientalischer Kampfkunst	mit Blumen	mit Papierfaltung	mit japanischen Hahne	B	ALLGEMEINES
4	Wie viele Spieler einer Basketballmannschaft sind gleichzeitig auf dem Platz?	vier	Sieben	sechs	funf	D	SPORT
5	Wessen Interessen vertritt UNICEF?	Gewerkschaften	Kinder	Tierschutzer	Arbeitskrafte	B	ALLGEMEINES
6	Wie wurde das kleine gekrauselte Frauenhaar, das in die Stirn fallt, liebevoll genannt?	boshaft	Katzchen	krauseln	rollen	A	ALLGEMEINES
7	In welcher Einheit wird die Schallfrequenz gemessen?	in Tonnen	in Dezibel	in Hertz	im Luxus	C	WISSENSCHAFT
8	Was fur eine Frau zeigt Munkacsys bekanntes Bild von 1873?	Ein Krug	Burgunder Kleid	Weihrauchfass	halt ihr Kind	C	BILDENDE KUNST
9	Wie hiess die erste Lokomotive von George Stephenson?	George	Mein Herr	Rakete	Lokomotive	B	TECHNIK
10	Wer war der erste Lehrer fur Padiatrie in Ungarn?	das Alter Janos Bokay	Pal Heim	agoston Schopf-Merei	Sandor Koranyi	A	BIOLOGIE
1	Was ist ein anderer Name fur den Schachbrettsoldaten?	ubergewichtig	Jack treffen	Stier eines Stiers	Kormoran	D	BIOLOGIE
2	Welcher Fussballspieler wird "Black Pearl" genannt?	Thuram	Pellet	Eusebio	Andy Kohl	B	SPORT
3	La Fontaine, Aisoposz, Andras Fay, Gaspar Heltai. Was verbindet diese vier Autoren?	ihren Geburtsort	ihre Religion	ihre Liebe	die Tiergeschichten	D	ALLGEMEINES
4	Welche ungarische Stadt wird die "Stadt des Wassers" genannt?	Siofok	Papa	Szeged	Debrecen	B	UNGARN
5	Wie hiess Paulinas Geliebte, Carlitos Vater, in der Serie Paula und Paulina?	Paulinho	Carlo Daniel	Rodrigo	Zorro	B	ALLGEMEINES
6	Welcher Teil eines Kleides ist ein Einstecktuch?	bestickte Tasche	Spitzenrusche	versteifter armel	Spitzenkragen	B	ALLGEMEINES
7	Unser Wort Apostel kommt vom griechischen Wort "apostolos". Was ist die ursprungliche Bedeutung des Wortes?	Schuler	gesendet	Schafer	Stein Fels	B	SPRACHE
1	Wo braten sie den frittierten Frosch?	Bei Kovacs	Bei Varga	Bei Viragek	Bei Golya	C	LITERATUR
2	Welches der folgenden Worter ist falsch geschrieben?	seufzen	Boden	Fang	Larm	C	SPRACHE
3	Welches der folgenden Gerichte benotigt keine Kartoffeln?	anschnallen	Pflaumenknodel	Quarkknodel	Granatenwurfel	C	KuCHE
4	Was fur ein Tier ist Lutra aus der Geschichte von Istvan Fekete bekannt?	Biber	Otter	Spitzmaus	Meerschweinchen	B	LITERATUR
5	Welcher beruhmte Popstar hatte die Hits "Bad" und "Black Or White"?	Michael Jackson	Rod Stewart	George Michael	Elton John	A	MUSIK
6	Wo wascht Frau agnes ihre Bettwasche in der Ballade von Janos Arany?	im Strom	am Brunnen	in der Theiss	in der Schildkrote	A	LITERATUR
7	Wo wurden einige Arten von Susswasseregeln in der Vergangenheit verwendet?	in der Pflanzenzuchtung	im Krieg	In Behandlung	in der Kochkunst	C	BIOLOGIE
8	Wie bekomme ich etwas, wenn ich es durch einen Tauschhandel bekomme?	Anwendung	nach multilateralen Verhandlungen	mit einem kurzfristigen Darlehen	mit Austausch	D	ALLGEMEINES
9	Nach wem ist die Zuzu-Reihe benannt?	Istvan Csok	Laszlo Paal	Bertalan Por	Istvan Szonyi	A	BILDENDE KUNST
10	Wer ist der jungste Wimbledon-Tennismeister aller Zeiten?	Peter Sampras	Bjorn Borg	Stefan Edberg	Boris Becker	D	SPORT
11	Wer von den folgenden bekannten Sangern spielte sich selbst in Sandor Pals Film Ripacsok?	Levente Szorenyi	Tamas Somlo	Demnachst	Gyula Vikidal	C	FILM
1	Wie hat David Goliath besiegt?	Er druckte es in Skander	Er schlug ihn mit seinem Speer	Er hat es auf den Punkt gebracht	Er bedeckte es mit einer Schleuder	D	RELIGION
2	Wie heisst der mannliche Esel?	kann	Hengst	sie sitzt	Hengst	D	BIOLOGIE
3	Was passiert mit einem Mimosenblatt, wenn man es beruhrt?	es zerfallt zu Staub	eroffnet	Zusammenbruche	Spruhfarbe	C	BIOLOGIE
4	Wer von den Folgenden ist die Figur des Volksmarchens Feherlofia?	Busch-Jumper	Baumzuchter	Rasenmaher	Kiefer Finale	B	LITERATUR
5	Wer ist der beruhmte amerikanische Basketballspieler, der in der RTL Klub-Serie Mercenaries auftaucht?	Jordanien	Barkley	Rodmann	Pippen	C	SPORT
6	Was hat Erno Rubik Sr. gemacht?	mit Weltraumforschung	mit Flugzeugbau	mit Spielzeugproduktion	mit Autobau	B	TECHNIK
7	Welche Farbe wird Lackmuspapier zu Saure annehmen?	gelb	grun	rot	blau	C	WISSENSCHAFT
1	Was tut nach dem Sprichwort, wer "sein Haupt unter das Joch beugt"?	Scheidung	melkt eine Kuh	heiratet	testet seinen Pflug	C	SPRACHE
2	Was ist kein Rindfleisch?	Lende	Schwellung	Bratpfanne	Schal auf	B	KuCHE
3	Was konnen wir in einem Freilichtmuseum sehen?	Medaillensammlungen	offentliche Verkehrsmittel	dorfliche Gebaude	Opernauffuhrungen	C	ALLGEMEINES
4	Wie spielt man das Spiel namens Marokko?	mit Wurfel	mit Karte	mit Stabchen	mit Dominosteinen	C	SPIEL
5	Wer hat die Musik zum Musical West Side Story komponiert?	Georg Gershwin	Leonhard Bernstein	Moritz Ravel	Nino Rota	B	MUSIK
6	Wo haben die britischen Kriegsgefangenen in David Leans Film eine Brucke gebaut?	zu weit	am Sambesi	am River Kwai	im Gutachten	C	FILM
7	Wie hiess der Militarkommandeur der Kosaken?	Laub	Ataman	Athanasius	Ottomane	B	GESCHICHTE
8	Welcher Kleidungsstoff wird aus der Haut einer jungen Ziege hergestellt?	trennen	Satin-	Wildleder-	Nubuk	A	BIOLOGIE
1	Welcher der folgenden ist der Name eines Kuchens?	Muttersprache	Die Laune der Frauen	Tratsch	weibliches Blutenblatt	B	KuCHE
2	Welches Land wurde das Geschenk des Nils genannt?	Assyrien	agypten	China	Mesopotamien	B	GESCHICHTE
3	Welche Karte zeigt der Schiedsrichter beim Austeilen im Fussball?	rosa	Eigelb	rot	Schwarz	C	SPORT
4	Pal Vasarhelyi hat einen Plan zur Regulierung welcher Meerenge erstellt?	Bering	Eisentor	Thermopylen	Gibraltarisch	B	TECHNIK
5	Ayatollah Khomeini war der religiose und politische Fuhrer welchen Landes?	Jordanien	Iran	Irak	Saudi-Arabien	B	GESCHICHTE
6	Welches Teil des Autos haben Donat Banki und Janos Csonka erfunden?	der Bremsbelag	das Getriebe	der Stossdampfer	der Zerstauber	D	TECHNIK
7	Wer hat die Kathedrale Sagrada Família in Barcelona entworfen?	Fernan Cabailero	Le Corbusier	Walter Gropius	Anton Gaudí	D	TECHNIK
8	Was war das Spekula-Gebaude des Eger Lyzeums?	Kasino	Handelshaus	Observatorium	Bibliothek	C	ALLGEMEINES
9	Wie heisst der gute Schuler in Teacher Karinthys Werk Please?	Wasserkopf	Frohlich	Steinmann	Bauer	C	LITERATUR
1	Welches ist nicht die Farbe der franzosischen Karte?	Spaten	es ist Schande	Kurbis	Datum	C	SPIEL
2	Warum druckt ein Neugeborenes unseren Finger?	so bittet er ums Essen	Wegen des Greifreflexes	druckt fur uns	darauf zu achten	B	BIOLOGIE
3	Welche Kleidung tragt die Person im Neglige?	Nachthemd	Kniehosen	kleines Kostum	Schienbeinschutzer	A	ALLGEMEINES
4	Welche Gemusegartenpflanze wird wegen ihrer essbaren Bluten angebaut?	Rettich	Sellerie	Blumenkohl	Kohl	C	KuCHE
5	In welcher Stadt wurde John Lennon erschossen?	in Los Angeles	in London	in NewYork	in Liverpool	C	MUSIK
6	Weil er seine Kreatur zum Leben erweckt hat, dr. Frankenstein in der Originalgeschichte?	durch Klonen	mit einem Kuss	durch magnetische Induktion	mit Strom	D	LITERATUR
7	Welche Stadt gehort zu Hollywood, der "Filmhauptstadt"?	Los Angeles	Las Vegas	New York	Detroit	A	FILM
8	Wie heisst ein finno-ugrisches Volk?	Samojede	Singhalesisch	Alemannisch	Med	A	SPRACHE
9	Wie heisst Garabo im Dialekt um Kecskemet?	ein Winterpullover	ein Korb mit Ohren	der Storch	der gute Schuler	B	SPRACHE
10	In welchem Land befindet sich die St.-Andreas-Verwerfungslinie?	Australien	Vereinigte Staaten von Amerika	Mexiko	Kanada	B	ERDKUNDE
11	Welche Literaturzeitung wurde 1916 gegrundet?	Menschen des Ostens	Westen	Heute	Schadlingszeitung	C	LITERATUR
12	Welche Art von Dampflokomotiven fuhren auf der ersten ungarischen Dampfeisenbahnstrecke?	Englisch	Deutsch	amerikanisch	Belgier	D	TECHNIK
1	"Wie viel" ist wertlos?	ein Penny	nicht einmal ein Holzverkaufer	ein Blatt	nicht einmal ein Holzwurm	D	ALLGEMEINES
2	In einem der ungarischen Volksmarchen erreicht der pasuly den Himmel. Was ist das eigentlich fur eine Pflanze?	ihr Verlobter	Marionette	Gas	Erbse	B	BIOLOGIE
3	Die Knochen welchen Teils unseres Korpers: der Hammer, der Amboss und der Steigbugel?	das Bein	die Hand	die Schulter	das Ohr	D	BIOLOGIE
4	Wo wurde temperaturunempfindliches Glas erfunden?	in Munchen	in Weimar	in Jena	Herend	C	TECHNIK
