Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
1	Hol talalhato a csarnokviz?	a palyaudvaron	a szemben	a tejcsarnokban	barlangfurdoben	B	BIOLoGIA
2	Mi indul Rideg Sandor regenyenek cimeben?	a banzaj	a bakterhaz	a mandula	a verseny	B	FILM
3	Melyik madarat nevezi a nephit veszmadarnak?	a seregelyt	a verebet	a kuvikot	a feketerigot	C	NYELV
4	Melyik Europa legmagasabb mukodo vulkanja?	Stromboli	Hekla	Szantorini	Etna	D	FoLDRAJZ
5	Melyik volt Koncz Zsuzsa elso onallo nagy slagere?	Szoke Anni balladaja	Rohan az ido	Szines ceruzak	Kis virag	A	ZENE
6	Kik hordtak eredetileg az anorakot?	a serpak	az eszkimok	a lappok	a nyenyecek	B	ToRTeNELEM
1	Melyik jarmurol elnevezett egyuttes tagja volt Zoran a 60-as evekben?	Villamos	HeV	Autobusz	Metro	D	ZENE
2	Hogyan vagtatott a Tisza Petofi verse szerint?	mint a megvadult bika	mint a forgoszel	mint az orult, ki letepte lancat	mint a menekulo, kit kerget a tatar	C	IRODALOM
3	Mivel foglalkozik az, akinek az ikebana a hobbija?	keleti kuzdosporttal	viragokkal	papirhajtogatassal	japan kakasokkal	B	aLTALaNOS
4	Hany jatekos van egyszerre a palyan egy kosarlabda-csapatbol?	negy	het	hat	ot	D	SPORT
5	Kiknek az erdekeit kepviseli az UNICEF?	szakszervezetek	gyerekek	allatvedok	dolgozok	B	aLTALaNOS
6	Hogyan neveztek kedveskedve a homlokba hullo kis fodor noi hajfurtot?	huncutka	mucika	pondorke	tekercske	A	aLTALaNOS
7	Milyen egysegben merik a hang rezgesszamat?	tonban	decibelben	hertzben	luxban	C	TUDOMaNY
8	Milyen not abrazol Munkacsy ismert, 1873-as kepe?	korsovivo	bordoruhas	rozsehordo	gyermeket tarto	C	KePZoMuVeSZET
9	Mi volt a neve George Stephenson elso mozdonyanak?	George	Mylord	Rocket	Locomotive	B	TECHNIKA
10	Ki volt a gyermekorvostan elso tanara hazankban?	id. Bokay Janos	Heim Pal	Schopf-Merei agoston	Koranyi Sandor	A	BIOLoGIA
1	Hogy nevezzuk maskeppen a karokatonat?	obsitos	treff bubi	bolonbika	kormoran	D	BIOLoGIA
2	Melyik futballistat nevezik "Fekete gyongyszem"-nek?	Thuramot	Pelet	Eusebiot	Andy Cole-t	B	SPORT
3	La Fontaine, Aiszoposz, Fay Andras, Heltai Gaspar. Mi koti ossze ezt a negy szerzot?	a szuletesi helyuk	a vallasuk	a szerelmuk	az allatmesek	D	aLTALaNOS
4	Melyik magyar varost nevezik a "vizek varosanak"?	Siofok	Tata	Szeged	Debrecen	B	MAGYARORSZaG
5	Mi volt a neve Paulina szerelmenek, Carlitos edesapjanak a Paula es Paulina cimu sorozatban?	Paulinho	Carlos Daniel	Rodrigo	Zorro	B	aLTALaNOS
6	Milyen resze egy ruhanak a zsabo?	himzett zseb	csipkes mellfodor	kemenyitett ingujj	csipkes galler	B	aLTALaNOS
7	Apostol szavunk a gorog "aposztolosz" szobol szarmazik. Mi a szo eredeti jelentese?	tanitvany	kuldott	pasztor	koszikla	B	NYELV
1	Hol sutik mar a rantott bekat?	Kovacseknal	Vargaeknal	Virageknal	Golyaeknal	C	IRODALOM
2	Az alabbi szavak kozul melyiket irtuk helytelenul?	sohaj	talaj	fogoj	zsivaj	C	NYELV
3	Az alabbi etelek kozul melyikbe nem kell burgonya?	sztrapacska	szilvas gomboc	turogomboc	granatos kocka	C	KONYHA
4	Milyen allat a Fekete Istvan tortenetebol ismert Lutra?	hod	vidra	cickany	tengerimalac	B	IRODALOM
5	Melyik hires popsztar slagerei voltak a "Bad" illetve a "Black Or White"?	Michael Jackson	Rod Stewart	George Michael	Elton John	A	ZENE
6	Hol mossa a lepedojet agnes asszony Arany Janos balladajaban?	a patakban	a kutnal	a Tiszaban	a teknoben	A	IRODALOM
7	Hol hasznaltak regen az edesvizi piocak egyes fajait?	a novenynemesiteseknel	a harcaszatban	a gyogyaszatban	a szakacsmuveszetben	C	BIOLoGIA
8	Hogyan jutok hozza valamihez, ha egy barter soran szerzem meg?	palyazaton	sokoldalu alku utan	rovid lejaratu kolcsonnel	cserevel	D	aLTALaNOS
9	Kinek a nevehez fuzodik a Zuzu-sorozat?	Csok Istvan	Paal Laszlo	Por Bertalan	Szonyi Istvan	A	KePZoMuVeSZET
10	Ki minden idok legfiatalabb wimbledoni ferfi teniszbajnoka?	Pete Sampras	Bjorn Borg	Stefan Edberg	Boris Becker	D	SPORT
11	Az alabbi ismert enekesek kozul ki jatszotta sajat magat Sandor Pal Ripacsok cimu filmjeben?	Szorenyi Levente	Somlo Tamas	Zoran	Vikidal Gyula	C	FILM
1	Hogyan gyozte le David Goliatot?	Szkanderben lenyomta	Dardajaval eltalalta	Elgancsolta	Parittyaval leteritette	D	VALLaS
