Difficulty	Question	THE	B	C	D	Answer	Category
1	Where is the hall water located?	at the train station	the opposite	in the milk parlor	in a cave bath	B	BIOLOGY
2	What begins in the title of Sandor Rideg's novel?	the banzai	the bakterhaus	the almond	the competition	B	MOVIE
3	Which bird is called a bird of danger by folklore?	the starling	the sparrow	the cup	the black thrush	C	LANGUAGE
4	Which is the highest active volcano in Europe?	Stromboli	Hekla	Santorini	Etna	D	GEOGRAPHY
5	What was Zsuzsa Koncz's first solo hit?	The ballad of Anni Szke	Time is running out	Colored pencils	Little Flower	A	MUSIC
6	Who originally wore the anorak?	the sherpas	the Eskimos	the sheets	the Nenets	B	HISTORY
1	Zoran was a member of the band named after which vehicle in the 60s?	Electric	MONTH	Bus	Metro	D	MUSIC
2	How did Tisza gallop according to Petfi's poem?	like a raging bull	like the whirlwind	like the madman who broke his chain	like the fugitive who is being chased by the Tartar	C	LITERATURE
3	What does someone whose hobby is ikebana do?	with oriental martial arts	with flowers	with paper folding	with Japanese roosters	B	GENERAL
4	How many players are on the court at one time from a basketball team?	four	seven	six	five	D	SPORTS
5	Whose interests does UNICEF represent?	trade unions	kids	animal protectors	workers	B	GENERAL
6	What was the affectionate name given to the small curled women's hair falling on the forehead?	mischievous	kitty	curl	roll	A	GENERAL
7	In what unit is the frequency of sound measured?	in tons	in decibels	in hertz	in luxury	C	SCIENCE
8	What kind of woman does Munkacsy's well-known picture from 1873 depict?	pitcher fencer	burgundy dress	incense barrel	holding her child	C	FINE ARTS
9	What was the name of George Stephenson's first locomotive?	George	My lord	Rocket	Locomotive	B	TECHNIQUE
10	Who was the first teacher of pediatrics in Hungary?	age Janos Bokay	Pal Heim	agoston Schopf-Merei	Sandor Koranyi	A	BIOLOGY
1	What is another name for the checkerboard soldier?	obese	meeting jack	bull of a bull	cormorant	D	BIOLOGY
2	Which football player is called the "Black Pearl"?	Thuram	Pellet	Eusebio	Andy Cole	B	SPORTS
3	La Fontaine, Aisoposz, Andras Fay, Gaspar Heltai. What connects these four authors?	their place of birth	their religion	their love	the animal stories	D	GENERAL
4	Which Hungarian city is called the "city of waters"?	Siofok	Dad	Szeged	Debrecen	B	HUNGARY
5	What was the name of Paulina's love, Carlitos' father, in the series Paula and Paulina?	Paulinho	Carlos Daniel	Rodrigo	Zoro	B	GENERAL
6	What part of a dress is a pocket square?	embroidered pocket	lace frill	stiffened sleeve	lace collar	B	GENERAL
7	Our word apostle comes from the Greek word "apostolos". What is the original meaning of the word?	disciple	sent	shepherd	stone rock	B	LANGUAGE
1	Where do they fry the fried frog?	At Kovacs's	At Varga's	At Viragek	At Golya's	C	LITERATURE
2	Which of the following words is spelled incorrectly?	sigh	soil	catch	noise	C	LANGUAGE
3	Which of the following dishes does not require potatoes?	strap-on	plum dumplings	cottage cheese dumplings	grenade cube	C	KITCHEN
4	What kind of animal is Lutra known from the story of Istvan Fekete?	beaver	otter	shrew	guinea pig	B	LITERATURE
5	Which famous pop star had the hits "Bad" and "Black Or White"?	Michael Jackson	Rod Stewart	George Michael	Elton John	A	MUSIC
6	Where does Mrs. agnes wash her sheets in the ballad of Janos Arany?	in the stream	at the well	in the Tisza	in the turtle	A	LITERATURE
7	Where were some species of freshwater leeches used in the past?	in plant breeding	in warfare	in medicine	in the art of cooking	C	BIOLOGY
8	How do I get something if I get it through a barter?	application	after multilateral bargaining	with a short-term loan	with exchange	D	GENERAL
9	Who is the Zuzu series named after?	Istvan Csok	Laszlo Paal	Bertalan Por	Istvan Sznyi	A	FINE ARTS
10	Who is the youngest Wimbledon men's tennis champion of all time?	Pete Sampras	Bjorn Borg	Stefan Edberg	Boris Becker	D	SPORTS
11	Who among the following well-known singers played themselves in Sandor Pal's film Ripacsok?	Levente Szorenyi	Tamas Somlo	Soon	Gyula Vikidal	C	MOVIE
1	How did David defeat Goliath?	He pressed it in Skander	He hit him with his spear	He nailed it	He covered it with a sling	D	RELIGION
2	What is the name of the male donkey?	kan	stallion	she's sitting	stallion	D	BIOLOGY
3	What happens to a mimosa leaf when you touch it?	it crumbles to dust	opens up	collapses	spray paint	C	BIOLOGY
4	Who among the following is the character of the folk tale Feherlofia?	Bush jumper	Tree grower	Lawnmower	Pine final	B	LITERATURE
5	Who is the famous American basketball player who appears in the RTL Klub series Mercenaries?	Jordan	Barkley	Rodman	Pippen	C	SPORTS
6	What did Ern Rubik Sr. do?	with space exploration	with aircraft construction	with toy production	with car manufacturing	B	TECHNIQUE
7	What color will litmus paper turn to acid?	yellow	green	red	blue	C	SCIENCE
1	According to the saying, what does he do who "bows his head to the yoke"?	divorce	milks a cow	gets married	tests his plow	C	LANGUAGE
2	Which of the following is not beef?	loin	swelling	griddle	scarf up	B	KITCHEN
3	What can we see in an open-air museum?	medal collections	means of public transport	village buildings	opera performances	C	GENERAL
4	How do you play the game called Morocco?	with dice	with a card	with chopsticks	with dominoes	C	GAME
5	Who composed the music for the musical West Side Story?	George Gershwin	Leonard Bernstein	Maurice Ravel	Nino Rota	B	MUSIC
6	Where did the British POWs build a bridge in David Lean's film?	too far	on the Zambezi	on the River Kwai	in the Expertise	C	MOVIE
7	What was the name of the Cossack military commander?	leaves	Ataman	athanasius	Ottoman	B	HISTORY
8	Which clothing material is made from the skin of a young goat?	sever	satin	suede	nubuck	A	BIOLOGY
1	Which of the following is the name of a cake?	mother tongue	Women's whim	gossip	female petal	B	KITCHEN
2	Which country was called the gift of the Nile?	Assyria	Egypt	China	Mesopotamia	B	HISTORY
3	What card does the referee show in football when giving out?	pink	yolk	red	black	C	SPORTS
4	Pal Vasarhelyi prepared a plan for the regulation of which strait?	Bering	Iron gate	Thermopylae	Gibraltarian	B	TECHNIQUE
5	Ayatollah Khomeini was the religious and political leader of which country?	Jordan	Iran	Iraq	Saudi Arabia	B	HISTORY
6	Which part of the car did Donat Banki and Janos Csonka invent?	the brake pad	the gearbox	the shock absorber	the atomizer	D	TECHNIQUE
7	Who designed Barcelona's Sagrada Família cathedral?	Fernan Cabailero	Le Corbusier	Walter Gropius	Antonio Gaudi	D	TECHNIQUE
8	What was the Spekula building of the Eger Lyceum?	casino	trading house	observatory	library	C	GENERAL
9	What is the name of the good student in Teacher Karinthy's work Please?	Wasserkopf	Frohlich	Steinmann	Bauer	C	LITERATURE
1	Which is not the suit of the French card?	spades	it's a shame	pumpkin	date	C	GAME
2	Why does a newborn baby squeeze our finger?	that's how he asks to eat	because of the grasping reflex	squeezes for us	to pay attention to it	B	BIOLOGY
3	What kind of clothing does the person in the negligee wear?	nightgown	knee breeches	little costume	shin guards	A	GENERAL
4	Which kitchen garden plant is grown for its edible flowers?	radish	celery	cauliflower	cabbage	C	KITCHEN
5	In which city was John Lennon shot?	in Los Angeles	in London	in Newyork	in Liverpool	C	MUSIC
6	Because he brought his creature to life dr. Frankenstein in the original story?	by cloning	with a kiss	by magnetic induction	with electricity	D	LITERATURE
7	Which city is part of Hollywood, the "film capital"?	Los Angeles	Las Vegas	new York	Detroit	A	MOVIE
8	What is the name of a Finno-Ugric people?	Samoyed	Sinhalese	Alemannic	honey	A	LANGUAGE
9	What is garabo called in the dialect around Kecskemet?	a winter sweater	a basket with ears	the stork	the student who studies well	B	LANGUAGE
10	In which country is the Saint Andrew fault line located?	Australia	USA	Mexico	Canada	B	GEOGRAPHY
11	Which literary newspaper was started in 1916?	People of the East	West	Today	Pest Newspaper	C	LITERATURE
12	What type of steam locomotives operated on the first Hungarian steam railway line?	English	German	American	Belgian	D	TECHNIQUE
1	"How much" is worthless?	a penny	not even a wood seller	a sheet	not even a woodworm	D	GENERAL
2	In one of the Hungarian folktales, the pasuly reaches the sky. What kind of plant is this in reality?	her fiance	puppet	gas	pea	B	BIOLOGY
3	The bones of which part of our body: the hammer, the anvil and the stirrup?	the leg	the hand	the shoulder	the ear	D	BIOLOGY
4	Where was glass insensitive to temperature changes invented?	in Munich	in Weimar	in Jena	Herend	C	TECHNIQUE
5	What is sherbet?	brown beer type	beer batter	salty beer skate	sweet fruit juice	D	KITCHEN
6	How do bats navigate at night?	with ultrasound	with their claws	with their wings	with their tail feathers	A	BIOLOGY
7	What special picture does the invention of Nobel laureate Denes Gabor create?	digital image	hologram	pictogram	snapshot	B	TECHNIQUE
8	According to KRESZ, which of the following is not considered a pedestrian?	who pushes a bicycle	who pushes a moped	who pushes a wheelbarrow	who herds animals	D	GENERAL
1	What happens to the chin of a person who remains hungry?	it falls	it wears out	he flinches	will shave	B	GENERAL
2	Which of the following "dairy products" is a plant name?	bull's milk	cottage cheese	bull butter	mallow	D	BIOLOGY
3	Where did the ancient Romans organize gladiatorial games?	in amphora	in the morning	in an amphitheater	in the gym	C	HISTORY
4	Which of the following works is attributed to Istvan Szechenyi?	About the hunters	The horse wheel	The beef roll	The double-headed eagle	B	HISTORY
5	What is the currency of Albania?	leva	lei	lek	lwei	C	COUNTRIES
6	Whose name is associated with the saying: "The die is cast"?	Socrates	Thales	Julius Caesar	Ern Rubik	C	GENERAL
7	What was the bottle used to store?	tobacco	brandy	spice	ink	B	GENERAL
8	In what style was the cathedral in Esztergom built?	Baroque	Neo-Romanian	neo-renaissance	classicist	D	ARCHITECTURE
9	What does the word "amen" at the end of the prayer mean?	it's over	to the Lord	forever	so be it	D	LANGUAGE
10	What does MTK stand for?	Hungarian Physical Education Club	Hungarian Body Exercisers' Circle	Hungarian Gymnastics Club	Circle of Hungarian Gymnasts	B	SPORTS
11	Which country does not border Brazil?	Ecuador	Guiana	Paraguay	Bolivia	A	COUNTRIES
12	Where is Bernstein's musical "West Side Story" set?	in San Francisco	in Los Angeles	in Newyork	in London	C	MUSIC
1	"What do you do" with beer, according to the title of the Fonograph group's hit?	Make up your mind!	Push it here!	Pay it out!	Send it down!	B	MUSIC
2	What is the name of the upper, horizontal wood of the door frame?	forehead tree	sofa	lintel	goal post	C	GENERAL
3	How is the robe related to justice?	the name of the judicial gavel	was a criminal instrument	the name of the judicial robe	attorney seal name	C	GENERAL
4	What do Asian peoples use junk for?	for cooking rice brandy	for shipping	for silk weaving	for making firecrackers	B	GENERAL
5	What is preserved during candiing?	with salt	with vinegar	with sugar	with alcohol	C	KITCHEN
6	Whose wife was Katinka Andrassy, the "red countess"?	Gyula Andrassy	Kalman Tisza	Mihaly Karolyi	Jozsef Eotvos	C	HISTORY
7	Which theater was the director of Major Tamas?	Madach Theater	National Theatre	Comedy theater	Pest Theater	B	THEATER
8	What kind of plant is barberry?	Moss	kind of pine	fern	mushroom	B	BIOLOGY
1	According to popular belief, where did our ancestors tenderize the meat?	under saddle	under the wheel	under a horseshoe	in a salt well	A	HISTORY
2	Who carried the party?	the wives	the unmarried	the widows	the brides	B	GENERAL
3	From which ore is aluminum produced?	made of copper	from bauxite	from iron ore	made of nickel	B	TECHNIQUE
4	What spring is in the title of the film starring Katalin Karady?	it's rainy	fatal	deadly	fool	C	MOVIE
5	In which Verdi opera is the aria beginning "Az asszony intagag" performed?	Othello	Don Carlos	Rigoletto	Traviata	C	OPERA
6	What ability does Mimicry have perks?	drought tolerance	light energy conversion	color and shape imitation	odor recognition	C	BIOLOGY
7	What is the name of the meeting of cardinals to elect a pope?	convention	concordat	congregation	conclave	D	RELIGION
8	Who played the brave Janos at the premiere of Pongrac Kacsoh's song play?	John Sardy	Sari Fedak	Blah Lujza	Ede Ujhazi	D	THEATER
9	According to KRESZ, at what speed can a moped ride on the bike path?	up to 15 km/h	up to 30 km/h	up to 20 km/h	up to 10 km/h	C	GENERAL
10	What was the first LP of the band Illes?	Kisses and slaps	Give your hand!	The road is hard	Don't cry girls!	C	MUSIC
1	What "room" do photographers work in?	sharp	sharp	dark	gloomy	C	GENERAL
2	Which animal's name matches the name of a piece of women's clothing worn around the neck?	Nandu	boa	alpaca	well	B	GENERAL
3	The Aztecs lived in the territory of which present-day state?	Guatemala	Peru	Colombia	Mexico	D	HISTORY
4	Which of the following is called a cutlet?	the adolescent chicken	the light-blooded lady	became the cot-handled one	the pork loin	D	LANGUAGE
5	Who made the first chef?	apprentices of the woodcutter's guild	the ancients	the outlaws from Bakony	the Apaches	B	HISTORY
6	Who comes into closer contact with the fourteen carat car in the Rejt novel?	Ivan Gorchev	It's Jimmy	Dusk Hopkins	the real Trebitsch	A	LITERATURE
7	Ferenc Karinthy, the excellent writer, was a leading competitor in which sport?	in water polo	in football	in tennis	in athletics	A	SPORTS
8	According to mythology, whose palace was Valhalla?	Morrigan	Krishna	Odin	Osiris	C	RELIGION
9	Which country has the most neighbors?	Russia	China	Sudan	Brazil	A	COUNTRIES
1	What did Archimedes shout when he jumped out of the bathtub when he realized his famous law?	Democracy!	Olympiad!	Anarchy!	Eureka!	D	SCIENCE
2	Which member of the Beatles wore glasses?	John Lennon	Paul McCartney	George Harrison	Ringo Starr	A	MUSIC
3	Which of the following is used to make salt?	green peas	lens	dry beans	yellow peas	C	KITCHEN
